,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1139,1139,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1140,1140,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1141,1141,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1142,1142,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1143,1143,1.0,0.5926,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['suggest', 'nuke', 'ing', 'animal', 'only', 'restraint', 'expect', 'only', 'cloud', 'hurt', 'post', 'only', 'go', 'back', 'see', 'mandel', 'proudly', 'tweet', 'defiance', 'covid', 'lockdown', 'order']"
1144,1144,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
1145,1145,1.0,0.515,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['year', 'first', 'covid', 'lockdown', 'like', 'hear', 'health', 'social', 'care', 'story', 'thing', 'chan']"
1146,1146,0.0,0.7045,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'covid', 'present', 'unprecedented', 'challenge', 'nhs', 'so', 'wh']"
1147,1147,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1148,1148,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1149,1149,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1150,1150,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1151,1151,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1152,1152,1.0,0.7395,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['rt', 'today', 'new', 'article', 'impact', 'covidlockdown', 'health', 'adult', 'chronicdisease']"
1153,1153,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1154,1154,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'covid', 'lockdown', 'acknowledge', 'dedicated_railway', 'colleague', 'kept_service']"
1155,1155,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1156,1156,0.0,0.7045,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'covid', 'present', 'unprecedented', 'challenge', 'nhs', 'so', 'wh']"
1157,1157,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'covid', 'lockdown', 'acknowledge', 'dedicated_railway', 'colleague', 'kept_service']"
1158,1158,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1159,1159,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1160,1160,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1161,1161,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1162,1162,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
1163,1163,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1164,1164,0.0,0.5463,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'national', 'day', 'reflection', 'mark', 'year', 'start']"
1165,1165,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1166,1166,1.0,0.6888,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['year', 'enter', 'first', 'covid', 'lockdown', 'period', 'world', 'change', 'so', 'much']"
1167,1167,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1168,1168,0.0,0.773,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['rd', 'anniversary', 'first', 'published_report', 'which_show', 'they_utilise']"
1169,1169,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1170,1170,0.0,0.7045,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'covid', 'present', 'unprecedented', 'challenge', 'nhs', 'so', 'wh']"
1171,1171,2.0,0.8297,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sit', 'bench', 'remember', 'lose', 'fight_against', 'covid', 'mark', 'national', 'day', 'reflection']"
1172,1172,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1173,1173,3.0,0.717,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['third', 'worker', 'quit', 'job', 'employer', 'let', 'work', 'home', 'accord', 'new', 'study', 'conduct']"
1174,1174,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1175,1175,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1176,1176,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1177,1177,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1178,1178,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1179,1179,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1180,1180,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1181,1181,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1182,1182,0.0,0.9378,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'also', 'year', 'stop', 'govt']"
1183,1183,3.0,0.5501,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['third', 'worker', 'quit', 'job', 'employer', 'let', 'work', 'home', 'accord', 'new', 'study', 'conduct', 'year', 'enter', 'covid', 'lockdown', 'reveal']"
1184,1184,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1185,1185,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1186,1186,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1187,1187,0.0,0.9378,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'also', 'year', 'stop', 'govt']"
1188,1188,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1189,1189,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1190,1190,0.0,0.9298,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'year', 'first', 'launch_publication', 'look', 'challenge', 'covid']"
1191,1191,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1192,1192,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1193,1193,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1194,1194,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1195,1195,3.0,0.9111,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['speak', 'truth', 'sheep', 'covid', 'shoot', 'faucilied_faucifile', 'agenda_klausschw']"
1196,1196,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1197,1197,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1198,1198,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1199,1199,2.0,0.5657,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['today', 'mark', 'year', 'national', 'day', 'reflection', 'visit', 'wall', 'remember', 'lose', 'life', 'thought', 'suffer', 'lose', 'loved_one', 'covid', 'pandemic']"
1200,1200,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1201,1201,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1202,1202,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1203,1203,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1204,1204,1.0,0.8757,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['significance', 'gonvar', 'film', 'photo', 'lie', 'subject', 'choose', 'narrative', 'wove', 'plot', 'aesthetic', 'employ', 'construct', 'narrative', 'sahil', 'write']"
1205,1205,0.0,0.6852,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 'remember']"
1206,1206,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1207,1207,3.0,0.38,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['today', 'national', 'day', 'reflection', 'mark', 'year', 'start', 'lockdown', 'mark', 'day', 've', 'light', 'bedford', 'town', 'bridge', 'riverside', 'bridge', 'yellow']"
1208,1208,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1209,1209,2.0,0.8358,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil']"
1210,1210,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1211,1211,2.0,0.9536,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['perhaps_another', 'lesson', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health_challenge', 'remember', 'party', 'own_residence', 'lockdown']"
1212,1212,2.0,0.7148,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['sad_messe', 'snakes_swallow', 'money_pupil', 'feed', 'covid', 'confirm', 'drug', 'president', 'select', 'bad', 'general', 'election', 'disguise', 'meet', 'mandate', 'thief']"
1213,1213,0.0,0.6452,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'national', 'day', 'reflection', 'mark', 'year', 'first', 'lockdown', 'covid', 'pandemic']"
1214,1214,2.0,0.905,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['piece', 'stunning_final', 'sentence_perhap', 'covid', 'trust', 'people']"
1215,1215,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1216,1216,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
1217,1217,2.0,0.905,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['piece', 'stunning_final', 'sentence_perhap', 'covid', 'trust', 'people']"
1218,1218,2.0,0.6068,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['research_insight', 'examine', 'improve_nurse', 'live', 'lesson', 'covid', 'pandemic', 'year']"
1219,1219,0.0,0.9291,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['pass', 'third', 'anniversary', 'lockdown', 'like', 'join', 'area']"
1220,1220,1.0,0.5677,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['cause', 'make', 'money', 'lose', 'speak', 'head', 'understand', 'right', 'act', 'line', 'well', 'articulate', 'insight', 'be', 'follow', 'watch', 'youtube', 'covid', 'lockdown', 'man', 'good']"
1221,1221,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'covid', 'lockdown', 'acknowledge', 'dedicated_railway', 'colleague', 'kept_service']"
1222,1222,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1223,1223,0.0,0.4155,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'today', 'united_kingdom', 'enter', 'state', 'lockdown', 'know', 'life', 'never', 'same', 'again', 'thought', 'go', 'lose', 'love', 'friend', 'covid', 'pandemic']"
1224,1224,0.0,0.9378,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'also', 'year', 'stop', 'govt']"
1225,1225,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1226,1226,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1227,1227,0.0,0.9378,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'also', 'year', 'stop', 'govt']"
1228,1228,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1229,1229,0.0,0.9378,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'also', 'year', 'stop', 'govt']"
1230,1230,1.0,0.9222,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['covid', 'lockdown', 'result', 'abrupt_unprecedented', 'social_isolation', 'brains_react', 'isolation']"
1231,1231,0.0,0.773,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['rd', 'anniversary', 'first', 'published_report', 'which_show', 'they_utilise']"
1232,1232,1.0,0.9565,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['so', 'expert', 'wannabe', 'dictator', 'aka', 'governor', 'wrong_wrong', 'wrong', 'now', 'demand', 'more', 'bailout', 'open']"
1233,1233,2.0,0.905,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['piece', 'stunning_final', 'sentence_perhap', 'covid', 'trust', 'people']"
1234,1234,1.0,0.6133,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['so', 're', 'back', 'delete', 'prior', 'twitter', 'account', 'bad', 'covid', 'take', 'answer']"
1235,1235,2.0,0.905,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['piece', 'stunning_final', 'sentence_perhap', 'covid', 'trust', 'people']"
1236,1236,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1237,1237,0.0,0.6852,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 'remember']"
1238,1238,0.0,0.7076,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['third', 'anniversary', 'week', 'flatten', 'curve', 'lockdown', 'covid', 'hoax']"
1239,1239,1.0,0.7309,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['today', 'new', 'article', 'impact', 'covidlockdown', 'health', 'adult', 'chronicdisease', 'aotearoa', 'result', 'show', 'self', 'report', 'mood', 'improve', 'lockdown', 'olderadult', 'year']"
1240,1240,0.0,0.9484,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['now', 'be', 'year', 'covid', 'lockdown', 'start', 'policy_director', 'fiona_loud', 'reflect', 'ha']"
1241,1241,3.0,0.5318,"covid, lockdown, former, party, boris_johnson, truth, speak, shoot, sheep, agenda_klausschw","['remember', 'country', 'went_into', 'nationwide', 'lockdown', 'combat', 'spread', 'covid', 'only', 'year', 'huge', 'sacrifice', 'make', 'also', 'remarkable', 'resilience', 'commitment', 'bring', 'today', 'thank']"
1242,1242,0.0,0.5832,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'first', 'day', 'national', 'lockdown', 'remember', 'life', 'lose', 'covid']"
1243,1243,0.0,0.5727,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['day', 'year', 'day', 'first', 'covid', 'lockdown']"
1244,1244,2.0,0.5142,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['tribal', 'politic', 'put', 'side', 'come', 'together', 'mark', 'national', 'day', 'reflection', 'third', 'anniversary', 'covid', 'lockdown']"
1245,1245,0.0,0.6852,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 'remember']"
1246,1246,1.0,0.9384,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['evidence', 'covid', 'circulate', 'fall', 'already', 'everywhere', 'even', 'go', 'lockdown']"
1247,1247,0.0,0.9492,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'covid', 'lockdown', 'acknowledge', 'dedicated_railway', 'colleague', 'kept_service']"
1248,1248,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1249,1249,0.0,0.9378,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'lockdown', 'also', 'year', 'stop', 'govt']"
1250,1250,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1251,1251,0.0,0.9377,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['destroy', 'action', 'demonetisation', 'flawed', 'gst', 'fail', 'lockdown', 'else']"
1252,1252,0.0,0.5862,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['now', 'year', 'covid', 'lockdown', 'start', 'policy_director', 'fiona_loud', 'reflect', 'learn', 'experience', 'period', 'click', 'link', 'below', 'read', 'piece', 'amp', 'also', 'watch', 'talk', 'video', 'format']"
1253,1253,0.0,0.9291,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['pass', 'third', 'anniversary', 'lockdown', 'like', 'join', 'area']"
1254,1254,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1255,1255,1.0,0.8945,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['follow', 'tldr', 'covid', 'covid', 'covidvaccine']"
1256,1256,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1257,1257,0.0,0.615,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['year', 'ago', 'today', 'went_into', 'lockdown', 'covid', 'today', 'reflection', 'remember', 'die', 'covid', 'pandemic', 'massively', 'disruptive', 'amp', 'heart', 'break', 'many', 'provide', 'positive', 'moment', 'reflect']"
1258,1258,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1259,1259,1.0,0.9425,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['follow', 'tldr', 'covid', 'covid', 'covidvaccine', 'pandemic', 'lockdown', 'cspc', 'virus', 'rtitbot']"
1260,1260,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1261,1261,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1262,1262,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1263,1263,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1264,1264,0.0,0.6852,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 'remember']"
1265,1265,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1266,1266,0.0,0.9298,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'year', 'first', 'launch_publication', 'look', 'challenge', 'covid']"
1267,1267,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1268,1268,2.0,0.6035,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort']"
1269,1269,0.0,0.5129,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['national', 'day', 'reflection', 'third', 'anniversary', 'first', 'lockdown', 'want', 'recognise', 'extraordinary_effort', 'personal', 'sacrifice', 'nursing', 'make', 'covid', 'pandemic', 'day', 'dayofreflection']"
1270,1270,0.0,0.6515,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['person', 'walk', 'national', 'covid', 'memorial_wall', 'third', 'anniversary', 'first', 'lockdown', 'national', 'day', 'reflection', 'akman', 'covid', 'epaimage']"
1271,1271,0.0,0.6451,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'national', 'day', 'reflection', 'third', 'anniversary', 'first', 'covid', 'lockdown', 'octagon_tower']"
1272,1272,1.0,0.903,"lockdown, covid, amp, more, impact, mask, wear, inequality, expenditure_data, collected_by","['covid', 'lockdown', 'result', 'abrupt_unprecedented', 'social_isolation', 'brains_react', 'isolation', 'new', 'pnk', 'writer', 'cover', 'neuroscience', 'social_isolation', 'loneliness', 'week', 'piece', 'scicomm']"
1273,1273,0.0,0.9298,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'year', 'first', 'launch_publication', 'look', 'challenge', 'covid']"
1274,1274,0.0,0.5832,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'first', 'day', 'national', 'lockdown', 'remember', 'life', 'lose', 'covid']"
1275,1275,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
1276,1276,2.0,0.8157,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['colleague', 'across_network', 'industry_partner', 'railway', 'mission', 'come', 'together', 'national']"
1277,1277,0.0,0.9491,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['colleague', 'king_cross', 'station', 'join', 'public', 'concourse', 'today', 'mark', 'third', 'annive']"
1278,1278,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
1279,1279,0.0,0.9056,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['lockdown', 'strikes_lat', 'successfully_bagge', 'first', 'best_university']"
1280,1280,2.0,0.905,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['piece', 'stunning_final', 'sentence_perhap', 'covid', 'trust', 'people']"
1281,1281,0.0,0.8539,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'first', 'lockdown', 'commemorate', 'just', 'launch', 'publication', 'explor']"
1282,1282,0.0,0.9602,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'third', 'anniversary', 'first', 'covid', 'lockdown', 'many', 'sacrifice', 'daily', 'routine', 'save', 'life']"
1283,1283,0.0,0.8715,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'first', 'day', 'covid', 'lockdown', 'covid', 'memorial_wall', 'feature', 'more', 'heart']"
1284,1284,2.0,0.6068,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['research_insight', 'examine', 'improve_nurse', 'live', 'lesson', 'covid', 'pandemic', 'year']"
1285,1285,0.0,0.6854,"lockdown, covid, year, first, support, today, anniversary, mark, third, pandemic","['today', 'mark', 'year', 'anniversary', 'covid', 'lockdown', 'time', 're']"
1286,1286,2.0,0.9566,"covid, lockdown, people, day, make, happen, post, mental, population, hlth","['piece', 'stunning_final', 'sentence_perhap', 'covid', 'trust', 'people', 'make', 'career_work', 'respond', 'health_challenge', 'remember', 'party', 'own_residence', 'lockdown']"
